,Search Term,climate change
180,2007-06-16,27.999999999999996
181,2007-06-23,23.0
182,2007-06-30,30.000000000000004
183,2007-07-07,39.0
184,2007-07-14,27.999999999999996
185,2007-07-21,26.0
186,2007-07-28,21.0
187,2007-08-04,27.0
188,2007-08-11,27.999999999999996
189,2007-08-18,25.0
190,2007-08-25,28.999999999999996
191,2007-09-01,34.0
192,2007-09-08,41.0
193,2007-09-15,42.0
194,2007-09-22,49.0
195,2007-09-29,48.0
196,2007-10-06,57.99999999999999
197,2007-10-13,64.0
198,2007-10-20,60.00000000000001
199,2007-10-27,57.99999999999999
200,2007-11-03,63.0
201,2007-11-10,66.0
202,2007-11-17,51.0
203,2007-11-24,57.99999999999999
204,2007-12-01,68.0
205,2007-12-08,78.0
206,2007-12-15,51.0
207,2007-12-22,20.0
208,2007-12-29,33.0
209,2008-01-05,49.0
210,2008-01-12,44.0
211,2008-01-19,44.99999999999999
212,2008-01-26,50.0
213,2008-02-02,50.0
214,2008-02-09,50.0
215,2008-02-16,44.99999999999999
216,2008-02-23,55.00000000000001
217,2008-03-01,57.99999999999999
218,2008-03-08,51.0
219,2008-03-15,43.0
220,2008-03-22,52.0
221,2008-03-29,55.00000000000001
222,2008-04-05,56.99999999999999
223,2008-04-12,61.0
224,2008-04-19,68.0
225,2008-04-26,64.0
226,2008-05-03,57.99999999999999
227,2008-05-10,69.0
228,2008-05-17,55.99999999999999
229,2008-05-24,49.0
230,2008-05-31,46.0
231,2008-06-07,35.0
232,2008-06-14,25.0
233,2008-06-21,27.999999999999996
234,2008-06-28,21.0
235,2008-07-05,24.0
236,2008-07-12,23.0
237,2008-07-19,25.0
238,2008-07-26,20.0
239,2008-08-02,17.0
240,2008-08-09,15.000000000000002
241,2008-08-16,16.0
242,2008-08-23,22.0
243,2008-08-30,27.999999999999996
244,2008-09-06,35.0
245,2008-09-13,34.0
246,2008-09-20,36.0
247,2008-09-27,37.0
248,2008-10-04,37.0
249,2008-10-11,39.0
250,2008-10-18,44.0
251,2008-10-25,42.0
252,2008-11-01,42.0
253,2008-11-08,44.0
254,2008-11-15,51.0
255,2008-11-22,33.0
256,2008-11-29,50.0
257,2008-12-06,45.06870229007633
258,2008-12-13,41.31297709923664
259,2008-12-20,18.778625954198468
260,2008-12-27,17.839694656488547
261,2009-01-03,33.801526717557245
262,2009-01-10,40.37404580152671
263,2009-01-17,35.679389312977094
264,2009-01-24,42.25190839694656
265,2009-01-31,41.31297709923664
266,2009-02-07,35.679389312977094
267,2009-02-14,36.618320610687014
268,2009-02-21,39.435114503816784
269,2009-02-28,41.31297709923664
270,2009-03-07,41.31297709923664
271,2009-03-14,36.618320610687014
272,2009-03-21,39.435114503816784
273,2009-03-28,42.25190839694656
274,2009-04-04,37.557251908396935
275,2009-04-11,41.31297709923664
276,2009-04-18,55.39694656488548
277,2009-04-25,48.82442748091603
278,2009-05-02,44.12977099236641
279,2009-05-09,40.37404580152671
280,2009-05-16,39.435114503816784
281,2009-05-23,32.862595419847324
282,2009-05-30,30.984732824427475
283,2009-06-06,26.29007633587786
284,2009-06-13,23.473282442748094
285,2009-06-20,27.22900763358778
286,2009-06-27,30.984732824427475
287,2009-07-04,25.35114503816794
288,2009-07-11,20.65648854961832
289,2009-07-18,19.717557251908392
290,2009-07-25,18.778625954198468
291,2009-08-01,16.900763358778622
292,2009-08-08,15.961832061068701
293,2009-08-15,14.083969465648854
294,2009-08-22,16.900763358778622
295,2009-08-29,22.534351145038165
296,2009-09-05,22.534351145038165
297,2009-09-12,25.35114503816794
298,2009-09-19,36.618320610687014
299,2009-09-26,33.801526717557245
300,2009-10-03,33.801526717557245
301,2009-10-10,39.435114503816784
302,2009-10-17,46.94656488549619
303,2009-10-24,44.12977099236641
304,2009-10-31,38.49618320610687
305,2009-11-07,44.12977099236641
306,2009-11-14,43.19083969465648
307,2009-11-21,74.17557251908396
308,2009-11-28,93.89312977099237
309,2009-12-05,84.50381679389312
310,2009-12-12,64.78625954198472
311,2009-12-19,30.045801526717554
312,2009-12-26,20.65648854961832
313,2010-01-02,44.12977099236641
314,2010-01-09,36.618320610687014
315,2010-01-16,30.984732824427475
316,2010-01-23,32.862595419847324
317,2010-01-30,32.862595419847324
318,2010-02-06,45.06870229007633
319,2010-02-13,46.00763358778626
320,2010-02-20,41.31297709923664
321,2010-02-27,42.25190839694656
322,2010-03-06,34.74045801526717
323,2010-03-13,30.984732824427475
324,2010-03-20,34.74045801526717
325,2010-03-27,30.045801526717554
326,2010-04-03,31.923664122137403
327,2010-04-10,34.74045801526717
328,2010-04-17,40.37404580152671
329,2010-04-24,40.37404580152671
330,2010-05-01,35.679389312977094
331,2010-05-08,34.74045801526717
332,2010-05-15,30.984732824427475
333,2010-05-22,25.35114503816794
334,2010-05-29,22.534351145038165
335,2010-06-05,18.778625954198468
336,2010-06-12,14.083969465648854
337,2010-06-19,10.32824427480916
338,2010-06-26,10.32824427480916
339,2010-07-03,11.267175572519083
340,2010-07-10,10.32824427480916
341,2010-07-17,12.206106870229007
342,2010-07-24,12.206106870229007
343,2010-07-31,10.32824427480916
344,2010-08-07,10.32824427480916
345,2010-08-14,10.32824427480916
346,2010-08-21,11.267175572519083
347,2010-08-28,14.083969465648854
348,2010-09-04,15.022900763358777
349,2010-09-11,18.778625954198468
350,2010-09-18,18.778625954198468
351,2010-09-25,19.717557251908392
352,2010-10-02,21.59541984732824
353,2010-10-09,21.59541984732824
354,2010-10-16,23.473282442748094
355,2010-10-23,22.534351145038165
356,2010-10-30,22.534351145038165
357,2010-11-06,24.412213740458014
358,2010-11-13,27.22900763358778
359,2010-11-20,19.717557251908392
360,2010-11-27,30.045801526717554
361,2010-12-04,29.10687022900763
362,2010-12-11,22.534351145038165
363,2010-12-18,12.206106870229007
364,2010-12-25,13.14503816793893
365,2011-01-01,17.839694656488547
366,2011-01-08,20.65648854961832
367,2011-01-15,19.717557251908392
368,2011-01-22,20.65648854961832
369,2011-01-29,26.29007633587786
370,2011-02-05,23.473282442748094
371,2011-02-12,21.59541984732824
372,2011-02-19,20.65648854961832
373,2011-02-26,22.534351145038165
374,2011-03-05,23.473282442748094
375,2011-03-12,19.717557251908392
376,2011-03-19,19.717557251908392
377,2011-03-26,20.65648854961832
378,2011-04-02,22.534351145038165
379,2011-04-09,23.473282442748094
380,2011-04-16,22.534351145038165
381,2011-04-23,26.29007633587786
382,2011-04-30,23.473282442748094
383,2011-05-07,22.534351145038165
384,2011-05-14,21.59541984732824
385,2011-05-21,21.59541984732824
386,2011-05-28,18.778625954198468
387,2011-06-04,16.900763358778622
388,2011-06-11,14.083969465648854
389,2011-06-18,12.206106870229007
390,2011-06-25,11.267175572519083
391,2011-07-02,10.32824427480916
392,2011-07-09,10.32824427480916
393,2011-07-16,12.206106870229007
394,2011-07-23,12.206106870229007
395,2011-07-30,12.206106870229007
396,2011-08-06,10.32824427480916
397,2011-08-13,12.206106870229007
398,2011-08-20,13.14503816793893
399,2011-08-27,15.961832061068701
400,2011-09-03,15.961832061068701
401,2011-09-10,18.778625954198468
402,2011-09-17,16.900763358778622
403,2011-09-24,16.900763358778622
404,2011-10-01,16.900763358778622
405,2011-10-08,17.839694656488547
406,2011-10-15,18.778625954198468
407,2011-10-22,19.717557251908392
408,2011-10-29,23.473282442748094
409,2011-11-05,20.65648854961832
410,2011-11-12,21.59541984732824
411,2011-11-19,16.900763358778622
412,2011-11-26,24.412213740458014
413,2011-12-03,25.35114503816794
414,2011-12-10,22.534351145038165
415,2011-12-17,11.267175572519083
416,2011-12-24,8.450381679389311
417,2011-12-31,15.022900763358777
418,2012-01-07,16.900763358778622
419,2012-01-14,15.022900763358777
420,2012-01-21,17.839694656488547
421,2012-01-28,21.59541984732824
422,2012-02-04,18.778625954198468
423,2012-02-11,22.534351145038165
424,2012-02-18,17.839694656488547
425,2012-02-25,20.65648854961832
426,2012-03-03,19.717557251908392
427,2012-03-10,21.59541984732824
428,2012-03-17,17.839694656488547
429,2012-03-24,20.65648854961832
430,2012-03-31,16.900763358778622
431,2012-04-07,19.717557251908392
432,2012-04-14,20.65648854961832
433,2012-04-21,21.59541984732824
434,2012-04-28,21.59541984732824
435,2012-05-05,17.839694656488547
436,2012-05-12,15.961832061068701
437,2012-05-19,15.022900763358777
438,2012-05-26,13.14503816793893
439,2012-06-02,12.206106870229007
440,2012-06-09,9.389312977099234
441,2012-06-16,8.450381679389311
442,2012-06-23,9.389312977099234
443,2012-06-30,12.206106870229007
444,2012-07-07,12.206106870229007
445,2012-07-14,11.267175572519083
446,2012-07-21,11.267175572519083
447,2012-07-28,11.267175572519083
448,2012-08-04,11.267175572519083
449,2012-08-11,8.450381679389311
450,2012-08-18,8.450381679389311
451,2012-08-25,11.267175572519083
452,2012-09-01,12.206106870229007
453,2012-09-08,15.022900763358777
454,2012-09-15,15.022900763358777
455,2012-09-22,15.961832061068701
456,2012-09-29,16.900763358778622
457,2012-10-06,15.961832061068701
458,2012-10-13,15.961832061068701
459,2012-10-20,17.839694656488547
460,2012-10-27,24.412213740458014
461,2012-11-03,20.65648854961832
462,2012-11-10,21.59541984732824
463,2012-11-17,15.961832061068701
464,2012-11-24,22.534351145038165
465,2012-12-01,1.6015025672264576
466,2012-12-08,1.4591467834729945
467,2012-12-15,0.9253125943975087
468,2012-12-22,0.42706735126038864
469,2012-12-29,0.6050120809522173
470,2013-01-05,1.1388462700277031
471,2013-01-12,1.1032573240893373
472,2013-01-19,1.032079432212606
473,2013-01-26,1.1744352159660687
474,2013-02-02,1.2456131078428003
475,2013-02-09,1.5659136212880918
476,2013-02-16,1.3523799456578973
477,2013-02-23,1.281202053781166
478,2013-03-02,1.3523799456578973
479,2013-03-09,1.1744352159660687
480,2013-03-16,1.1388462700277031
481,2013-03-23,1.0676683781509715
482,2013-03-30,1.1744352159660687
483,2013-04-06,1.3523799456578973
484,2013-04-13,1.3523799456578973
485,2013-04-20,1.4947357294113603
486,2013-04-27,1.4947357294113603
487,2013-05-04,1.4947357294113603
488,2013-05-11,1.3523799456578973
489,2013-05-18,1.3879688915962631
490,2013-05-25,1.0676683781509715
491,2013-06-01,0.9253125943975087
492,2013-06-08,0.7829568106440459
493,2013-06-15,0.6050120809522173
494,2013-06-22,1.1032573240893373
495,2013-06-29,0.6761899728289487
496,2013-07-06,0.6050120809522173
497,2013-07-13,0.6050120809522173
498,2013-07-20,0.6050120809522173
499,2013-07-27,0.5694231350138516
500,2013-08-03,0.5694231350138516
501,2013-08-10,0.640601026890583
502,2013-08-17,0.6761899728289487
503,2013-08-24,0.7829568106440459
504,2013-08-31,0.7117789187673144
505,2013-09-07,1.032079432212606
506,2013-09-14,1.1032573240893373
507,2013-09-21,1.281202053781166
508,2013-09-28,1.1032573240893373
509,2013-10-05,1.1388462700277031
510,2013-10-12,1.0676683781509715
511,2013-10-19,1.0676683781509715
512,2013-10-26,1.2456131078428003
513,2013-11-02,1.281202053781166
514,2013-11-09,1.4591467834729945
515,2013-11-16,1.3523799456578973
516,2013-11-23,0.9609015403358744
517,2013-11-30,1.281202053781166
518,2013-12-07,1.3523799456578973
519,2013-12-14,1.1032573240893373
520,2013-12-21,0.46265629719875434
521,2013-12-28,0.8541347025207773
522,2014-01-04,1.8862141347333832
523,2014-01-11,1.1744352159660687
524,2014-01-18,1.1388462700277031
525,2014-01-25,1.3879688915962631
526,2014-02-01,1.2456131078428003
527,2014-02-08,1.3167909997195315
528,2014-02-15,1.4591467834729945
529,2014-02-22,1.4591467834729945
530,2014-03-01,1.3167909997195315
531,2014-03-08,1.3167909997195315
532,2014-03-15,1.3879688915962631
533,2014-03-22,1.2456131078428003
534,2014-03-29,1.637091513164823
535,2014-04-05,1.5659136212880918
536,2014-04-12,1.3523799456578973
537,2014-04-19,1.5659136212880918
538,2014-04-26,1.3879688915962631
539,2014-05-03,2.384459377870503
540,2014-05-10,2.2421035941170406
541,2014-05-17,1.74385835097992
542,2014-05-24,1.3879688915962631
543,2014-05-31,1.4591467834729945
544,2014-06-07,0.9609015403358744
545,2014-06-14,0.7829568106440459
546,2014-06-21,0.8541347025207773
547,2014-06-28,0.7473678647056802
548,2014-07-05,0.7473678647056802
549,2014-07-12,0.7473678647056802
550,2014-07-19,0.6761899728289487
551,2014-07-26,0.6761899728289487
552,2014-08-02,0.640601026890583
553,2014-08-09,0.5694231350138516
554,2014-08-16,0.640601026890583
555,2014-08-23,0.8185457565824115
556,2014-08-30,1.032079432212606
557,2014-09-06,1.2100241619044345
558,2014-09-13,1.4947357294113603
559,2014-09-20,2.9894714588227207
560,2014-09-27,1.3879688915962631
561,2014-10-04,1.3167909997195315
562,2014-10-11,1.2100241619044345
563,2014-10-18,1.3879688915962631
564,2014-10-25,1.3167909997195315
565,2014-11-01,1.5659136212880918
566,2014-11-08,1.6726804591031887
567,2014-11-15,1.7082694050415546
568,2014-11-22,1.1032573240893373
569,2014-11-29,1.637091513164823
570,2014-12-06,1.4591467834729945
571,2014-12-13,1.1032573240893373
572,2014-12-20,0.4982452431371201
573,2014-12-27,0.5338341890754857
574,2015-01-03,0.9609015403358744
575,2015-01-10,1.2100241619044345
576,2015-01-17,1.3879688915962631
577,2015-01-24,1.4235578375346287
578,2015-01-31,1.1032573240893373
579,2015-02-07,1.4591467834729945
580,2015-02-14,1.3523799456578973
581,2015-02-21,1.3879688915962631
582,2015-02-28,1.5659136212880918
583,2015-03-07,1.4591467834729945
584,2015-03-14,1.4235578375346287
585,2015-03-21,1.6726804591031887
586,2015-03-28,1.3167909997195315
587,2015-04-04,1.4235578375346287
588,2015-04-11,1.6726804591031887
589,2015-04-18,2.170925702240309
590,2015-04-25,1.7794472969182857
591,2015-05-02,1.6015025672264576
592,2015-05-09,1.4947357294113603
593,2015-05-16,1.6015025672264576
594,2015-05-23,1.4947357294113603
595,2015-05-30,1.281202053781166
596,2015-06-06,1.0676683781509715
597,2015-06-13,1.1744352159660687
598,2015-06-20,0.9964904862742402
599,2015-06-27,0.7829568106440459
600,2015-07-04,0.7829568106440459
601,2015-07-11,0.7829568106440459
602,2015-07-18,0.8897236484591429
603,2015-07-25,0.8541347025207773
604,2015-08-01,1.1744352159660687
605,2015-08-08,0.7473678647056802
606,2015-08-15,0.7829568106440459
607,2015-08-22,0.8541347025207773
608,2015-08-29,1.1744352159660687
609,2015-09-05,1.1744352159660687
610,2015-09-12,1.4591467834729945
611,2015-09-19,1.5659136212880918
612,2015-09-26,1.6726804591031887
613,2015-10-03,1.4591467834729945
614,2015-10-10,1.6015025672264576
615,2015-10-17,1.4947357294113603
616,2015-10-24,1.5303246753497262
617,2015-10-31,1.7794472969182857
618,2015-11-07,1.6726804591031887
619,2015-11-14,2.2421035941170406
620,2015-11-21,1.4591467834729945
621,2015-11-28,3.5588945938365715
622,2015-12-05,3.1318272425761835
623,2015-12-12,3.0250604047610863
624,2015-12-19,1.3167909997195315
625,2015-12-26,1.032079432212606
626,2016-01-02,1.1388462700277031
627,2016-01-09,1.2456131078428003
628,2016-01-16,1.3523799456578973
629,2016-01-23,1.3879688915962631
630,2016-01-30,1.3167909997195315
631,2016-02-06,1.3167909997195315
632,2016-02-13,1.281202053781166
633,2016-02-20,1.3523799456578973
634,2016-02-27,1.9929809725484804
635,2016-03-05,1.74385835097992
636,2016-03-12,1.4591467834729945
637,2016-03-19,1.3167909997195315
638,2016-03-26,1.3523799456578973
639,2016-04-02,1.7082694050415546
640,2016-04-09,1.7794472969182857
641,2016-04-16,2.170925702240309
642,2016-04-23,1.74385835097992
643,2016-04-30,1.8150362428566515
644,2016-05-07,1.5659136212880918
645,2016-05-14,1.6015025672264576
646,2016-05-21,1.3523799456578973
647,2016-05-28,1.1032573240893373
648,2016-06-04,0.9964904862742402
649,2016-06-11,0.7117789187673144
650,2016-06-18,0.6761899728289487
651,2016-06-25,0.640601026890583
652,2016-07-02,0.5694231350138516
653,2016-07-09,0.6050120809522173
654,2016-07-16,0.6761899728289487
655,2016-07-23,0.8541347025207773
656,2016-07-30,0.7829568106440459
657,2016-08-06,0.6050120809522173
658,2016-08-13,0.7829568106440459
659,2016-08-20,0.8185457565824115
660,2016-08-27,0.8897236484591429
661,2016-09-03,0.9964904862742402
662,2016-09-10,1.032079432212606
663,2016-09-17,1.2100241619044345
664,2016-09-24,1.637091513164823
665,2016-10-01,1.3879688915962631
666,2016-10-08,1.3167909997195315
667,2016-10-15,1.3879688915962631
668,2016-10-22,1.3879688915962631
669,2016-10-29,1.5659136212880918
670,2016-11-05,1.2456131078428003
671,2016-11-12,1.2100241619044345
672,2016-11-19,0.8541347025207773
673,2016-11-26,1.1032573240893373
674,2016-12-03,1.347526907575393
675,2016-12-10,1.1229390896461608
676,2016-12-17,0.6737634537876965
677,2016-12-24,0.4491756358584643
678,2016-12-31,0.6416794797978063
679,2017-01-07,0.8020993497472577
680,2017-01-14,0.8983512717169286
681,2017-01-21,1.219191011615832
682,2017-01-28,0.8983512717169286
683,2017-02-04,1.02668716767649
684,2017-02-11,0.9946031936865998
685,2017-02-18,0.9946031936865998
686,2017-02-25,1.02668716767649
687,2017-03-04,0.9946031936865998
688,2017-03-11,0.8983512717169286
689,2017-03-18,0.8983512717169286
690,2017-03-25,0.9946031936865998
691,2017-04-01,0.8662672977270384
692,2017-04-08,0.8341833237371482
693,2017-04-15,0.9946031936865998
694,2017-04-22,1.347526907575393
695,2017-04-29,1.1550230636360512
696,2017-05-06,1.0908551156562707
697,2017-05-13,0.9946031936865998
698,2017-05-20,0.8341833237371482
699,2017-05-27,1.4437788295450642
700,2017-06-03,1.1229390896461608
701,2017-06-10,0.5775115318180256
702,2017-06-17,0.5454275578281353
703,2017-06-24,0.4170916618685741
704,2017-07-01,0.4170916618685741
705,2017-07-08,0.5454275578281353
706,2017-07-15,0.4170916618685741
707,2017-07-22,0.3850076878786838
708,2017-07-29,0.513343583838245
709,2017-08-05,0.4491756358584643
710,2017-08-12,0.32083973989890313
711,2017-08-19,0.3850076878786838
712,2017-08-26,0.7379314017674772
713,2017-09-02,1.1229390896461608
714,2017-09-09,0.9946031936865998
715,2017-09-16,0.930435245706819
716,2017-09-23,0.7700153757573676
717,2017-09-30,0.7058474277775869
718,2017-10-07,0.7700153757573676
719,2017-10-14,0.8020993497472577
720,2017-10-21,0.8983512717169286
721,2017-10-28,0.7700153757573676
722,2017-11-04,0.7379314017674772
723,2017-11-11,0.8341833237371482
724,2017-11-18,0.4170916618685741
725,2017-11-25,0.7700153757573676
726,2017-12-02,1.02668716767649
727,2017-12-09,0.930435245706819
728,2017-12-16,0.513343583838245
729,2017-12-23,0.8341833237371482
730,2017-12-30,1.219191011615832
731,2018-01-06,0.8983512717169286
732,2018-01-13,0.7700153757573676
733,2018-01-20,0.7700153757573676
734,2018-01-27,0.7379314017674772
735,2018-02-03,0.7379314017674772
736,2018-02-10,0.7379314017674772
737,2018-02-17,0.7058474277775869
738,2018-02-24,0.8341833237371482
739,2018-03-03,0.8020993497472577
740,2018-03-10,0.7379314017674772
741,2018-03-17,0.7700153757573676
742,2018-03-24,0.6737634537876965
743,2018-03-31,0.8020993497472577
744,2018-04-07,0.8662672977270384
745,2018-04-14,1.02668716767649
746,2018-04-21,1.02668716767649
747,2018-04-28,0.8020993497472577
748,2018-05-05,0.8020993497472577
749,2018-05-12,0.8983512717169286
750,2018-05-19,0.7700153757573676
751,2018-05-26,0.5775115318180256
752,2018-06-02,0.513343583838245
753,2018-06-09,0.35292371388879346
754,2018-06-16,0.32083973989890313
755,2018-06-23,0.2566717919191225
756,2018-06-30,0.32083973989890313
757,2018-07-07,0.2887557659090128
758,2018-07-14,0.2566717919191225
759,2018-07-21,0.32083973989890313
760,2018-07-28,0.32083973989890313
761,2018-08-04,0.4170916618685741
762,2018-08-11,0.32083973989890313
763,2018-08-18,0.3850076878786838
764,2018-08-25,0.48125960984835464
765,2018-09-01,0.48125960984835464
766,2018-09-08,0.6416794797978063
767,2018-09-15,0.6737634537876965
768,2018-09-22,0.6737634537876965
769,2018-09-29,0.7058474277775869
770,2018-10-06,1.3796108815652834
771,2018-10-13,1.347526907575393
772,2018-10-20,0.9625192196967093
773,2018-10-27,1.0908551156562707
774,2018-11-03,1.2833589595956125
775,2018-11-10,1.4758628035349544
776,2018-11-17,1.2512749856057221
777,2018-11-24,1.6683666474742964
778,2018-12-01,1.957122413383309
779,2018-12-08,1.7004506214641866
780,2018-12-15,1.1871070376259416
781,2018-12-22,0.48125960984835464
782,2018-12-29,0.6737634537876965
783,2019-01-05,0.9946031936865998
784,2019-01-12,1.1550230636360512
785,2019-01-19,1.2833589595956125
786,2019-01-26,2.791305737120457
787,2019-02-02,1.8929544654035284
788,2019-02-09,1.7967025434338573
789,2019-02-16,1.315442933585503
790,2019-02-23,1.5079467775248447
791,2019-03-02,1.4437788295450642
792,2019-03-09,1.6683666474742964
793,2019-03-16,1.1229390896461608
794,2019-03-23,1.5079467775248447
795,2019-03-30,1.7967025434338573
796,2019-04-06,2.05337433535298
797,2019-04-13,1.6362826734844058
798,2019-04-20,2.5025499712114443
799,2019-04-27,2.662969841160896
800,2019-05-04,2.4062980492417734
801,2019-05-11,2.630885867171006
802,2019-05-18,2.2458781792923217
803,2019-05-25,1.6683666474742964
804,2019-06-01,1.5721147255046253
805,2019-06-08,1.1550230636360512
806,2019-06-15,0.9946031936865998
807,2019-06-22,0.9946031936865998
808,2019-06-29,0.930435245706819
809,2019-07-06,0.8983512717169286
810,2019-07-13,0.8662672977270384
811,2019-07-20,0.8983512717169286
812,2019-07-27,0.9625192196967093
813,2019-08-03,0.9625192196967093
814,2019-08-10,0.7700153757573676
815,2019-08-17,0.930435245706819
816,2019-08-24,1.0587711416663803
817,2019-08-31,1.0908551156562707
818,2019-09-07,0.9946031936865998
819,2019-09-14,2.5346339452013344
820,2019-09-21,3.208397398989031
821,2019-09-28,1.7967025434338573
822,2019-10-05,1.315442933585503
823,2019-10-12,1.0908551156562707
824,2019-10-19,1.219191011615832
825,2019-10-26,1.6362826734844058
826,2019-11-02,2.05337433535298
827,2019-11-09,2.149626257322651
828,2019-11-16,2.566717919191225
829,2019-11-23,1.7967025434338573
830,2019-11-30,2.8233897111103476
831,2019-12-07,2.662969841160896
832,2019-12-14,2.0212903613630897
833,2019-12-21,0.8662672977270384
834,2019-12-28,1.1229390896461608
835,2020-01-04,2.438382023231664
836,2020-01-11,2.5025499712114443
837,2020-01-18,2.05337433535298
838,2020-01-25,2.2512255082906374
839,2020-02-01,2.2512255082906374
840,2020-02-08,2.2512255082906374
841,2020-02-15,2.2512255082906374
842,2020-02-22,2.2512255082906374
843,2020-02-29,2.2512255082906374
844,2020-03-07,1.80098040663251
845,2020-03-14,1.3507353049743824
846,2020-03-21,1.3507353049743824
847,2020-03-28,1.3507353049743824
848,2020-04-04,1.80098040663251
849,2020-04-11,1.80098040663251
850,2020-04-18,2.2512255082906374
851,2020-04-25,1.80098040663251
